Unnamed: 0,Formula,Composto,Ant (A),Ant (B),Ant (C),Max,Min
117.0,C3H5Cl3,"1,2,3-trichloropropan","16,1246","3417,27","-69,15",470.0,315.0
118.0,C3H5N,propionitrile,"15,9571","2940,86","-55,15",405.0,270.0
119.0,C3H6,cyclopropane,"15,8599","1971,04","-26,65",245.0,180.0
120.0,C3H6,propylene,"15,7027","1807,53","-26,15",240.0,160.0
121.0,C3H6Cl2,"1,2 - dichloropropane","16,0385","2985,07","-52,16",408.0,288.0
122.0,C3H6O,acetone,"16,6513","2940,46","-35,93",350.0,241.0
123.0,C3H6O,allyl-alcohol,"16,9066","2928,20","-85,15",400.0,286.0
124.0,C3H6O,proprionaldeyde,"16,2315","2659,02","-44,15",350.0,235.0
125.0,C3H6O,propilene oxide,"15,3227","2107,58","-64,87",340.0,225.0
126.0,C3H6O,vynil methyl eter,"14,4602","1980,22","-25,15",315.0,190.0
127.0,C3H6O2,propionic acid,"17,3789","3723,42","-67,48",450.0,315.0
128.0,C3H6O2,ethyl formate,"16,1611","2603,30","-54,15",360.0,240.0
129.0,C3H6O2,methyl acetate,"16,1295","2601,92","-56,15",360.0,245.0
130.0,C3H7Cl,propyl chloride,"15,9594","2581,48","-42,95",350.0,230.0
131.0,C3H7Cl,isopropyl chloride,"16,0384","2490,48","-43,15",340.0,225.0
132.0,C3H8,propane,"15,7260","1872,46","-25,16",249.0,164.0
133.0,C3H8O,1-propanol,"17,5439","3166,38","-80,15",400.0,285.0
134.0,C3H8O,isoprophyl alcohol,"18,6929","3640,20","-53,54",374.0,273.0
135.0,C3H8O,methyl ethyl eter,"13,5435","1161,63","-112,40",310.0,205.0
136.0,C3H8O2,methylal,"15,8237","2415,92","-52,58",315.0,270.0
137.0,C3H8O2,"1,2 propanediol","20,5324","6091,95","-22,46",483.0,357.0
138.0,C3H8O2,"1,3 - propanediol","17,2917","3888,84","-123,32",525.0,380.0
139.0,C3H8O3,glyceol,"17,2392","4487,04","-140,20",600.0,440.0
140.0,C3H8S,methyl ethyl sulfide,"15,9765","2722,95","-48,32",360.0,250.0
141.0,C3H9N,n-propyl amine,"15,9957","2551,72","-49,15",350.0,235.0
142.0,C3H9N,isopropyl amine,"16,3637","2582,35","-10,15",337.0,239.0
143.0,C3H9N,trimethyl amine,"16,0499","2230,51","-39,15",305.0,215.0
144.0,C4H2O3,maleic anhydride,"16,2747","3765,65","-82,15",516.0,352.0
145.0,C4H4,vinylacetilene,"16,0100","2203,57","-43,15",305.0,200.0
146.0,C4H4O,furan,"16,0612","2442,70","-45,41",363.0,238.0
147.0,C4H4S,triophene,"16,0423","2869,70","-51,80",380.0,260.0
148.0,C4H5N,allyl cyanide,"16,0019","3128,75","-58,15",430.0,400.0
149.0,C4H5N,pyrrole,"16,7966","3457,47","-62,73",440.0,330.0
150.0,C4H6,1-butyne,"16,0656","2271,42","-40,30",300.0,200.0
151.0,C4H6,2-butyne,"16,2871","2536,78","-37,34",320.0,240.0
152.0,C4H6,"1,2 butadiene","16,1039","2397,26","-30,88",305.0,245.0
153.0,C4H6,"1,3 butadiene","15,7727","2142,66","-34,30",290.0,215.0
154.0,C4H6O2,vynil acetate,"16,1003","2744,68","-56,15",379.0,255.0
155.0,C4H6O3,acetic anhydride,"16,3982","3287,56","-75,11",437.0,308.0
